"Site","144","145","147","150","151","153","154","158","160","165","172","179","186","192","193"
"C-foret","wind","0","0","0","wind","0","0","wind","0","wind","wind","human","human","0","wind"
"C-lisiere","human","0","0","0","human","0","0","wind","0","human","human","human","human","0","wind"
"E-foret","wind","0","0","0","wind","0","0","wind","0","human","human","wind","wind","0","human"
"E-lisiere","wind","0","0","0","wind","0","0","wind","0","wind","wind","wind","wind","0","wind"
"F-foret","wind","0","0","0","wind","0","0","wind","0","wind","human","human","wind","0","wind"
"F-lisiere","wind","0","0","0","wind","0","0","wind","0","human","none","wind","wind","0","0"
"Francine-3","0","0","0","0","wind","0","0","wind","0","wind","human","human","wind","0","wind"
"G-foret","wind","0","0","0","wind","0","0","wind","0","wind","human","wind","wind","0","wind"
"G-lisiere","wind","0","0","0","wind","0","0","wind","0","wind","human","human","human","0","wind"
"H-lisiere","0","0","0","0","wind","0","0","wind","0","wind","human","human","wind","0","wind"
"J-foret","0","wind","0","0","wind","0","0","wind","0","wind","human","human","human","human","0"
"J-lisiere","0","wind","0","0","wind","0","0","human","human","0","human","human","human","human","0"
"K-foret","0","wind","0","human","0","0","0","wind","0","wind","human","wind","human","wind","0"
"K-lisiere","0","human","0","0","wind","0","0","wind","0","human","human","wind","wind","human","0"
"L-foret","0","wind","0","0","human","0","0","wind","0","wind","wind","wind","none","human","0"
"L-lisiere","0","human","0","0","wind","0","0","wind","0","human","wind","wind","human","human","0"
"M-foret","0","0","human","0","wind","0","0","human","0","human","wind","human","human","wind","0"
"M-lisiere","0","0","human","0","human","0","0","human","0","human","human","human","human","human","0"
"N-foret","0","0","human","0","human","0","0","human","0","human","human","human","human","human","0"
"N-lisiere","0","0","human","0","human","0","0","human","0","human","wind","human","human","human","0"
"P-lisiere","wind","0","0","0","wind","0","0","wind","0","wind","human","human","wind","0","wind"
"Q-lisiere","wind","0","0","0","wind","0","0","wind","0","wind","human","human","wind","0","wind"
"W-lisiere","0","0","0","0","human","0","0","human","0","human","human","human","human","human","0"
"X-foret","0","0","0","0","0","0","wind","wind","0","wind","wind","wind","human","wind","0"
"Y-lisiere","0","0","0","0","0","wind","0","wind","0","wind","wind","human","human","human","0"
"Z-lisiere","0","0","0","0","0","none","0","human","0","wind","human","human","wind","human","0"
