"V1","V2","V3","V4","V5","V6","V7","V8"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
NA,"2","0","0","1","2","1","0"
"0","0","0","0","0","0","0","0"
"0","1","0","0","0","1","0","0"
"0","0","0","0","0","1","0","0"
"1","2","1","0","1","3","2","0"
"0","1","0",NA,"0","2","1","0"
"1","0","1","0","0","1","1","0"
"0","0","0","0","0","2","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","1","1","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","1","0","0","1","2","1","0"
"0","2","0","1","1","2","0","0"
NA,"0","0","0","1","1","0","0"
NA,"2","0","0","1","2","1","0"
NA,"1","0","0","1","2","0","0"
NA,"1","1","0","1","0","0","0"
